ID,LENGTHPLANTRANS,TIMELINETRANCONSCIENT ,TIMEMAJORCONSCIENT ,TIMEONLINECONSCIENT,FREQADVISTRANS ,HOMEWORKHOURS,FREQAPPOINTUTOR ,ASKHELP,CLASSATTENDANCE,EARLYREADINGMAG ,EARLYREADINGBOOKS ,EARLYREADINGBOOKMAG,EARLYREADINGINTERNET ,HS,GED ,CCDIRECT ,SELFASSESSCOMPUT ,CLASSDISCUSS_UNCOMFORT,FREQCLASSDISUSS ,CONFIDTHIRDFOURTH ,CONFIDTERMPAPER ,CONFIDRESEARCH ,CONFIDTESTPERFORM ,CONFIDORGAN ,CONFIDCLASSDISCUSS ,CAMPUSTIME ,CTIMESOCIALIZING ,CTIMEHW ,CTIMEXTRAC ,CTIMECOMPUTER,TRANSFERDESIRE,ACAD_ACTIVITIES_CLUBS,SOCCULTATTEND,CLOSESTFRBA1,CLOSESTFRBA2,CLOSESTFR3COLL1,CLOSESTFR3COLL2,CLOSESTFR3COLL3,CLOSESTFRBA4,CLOSESTFRBA5,COLLEGEFRIENDSPROP,FREQADVGOALADVISORS ,FREQADVGOALFAC ,FREQADVGOALMENT ,FREQADVGOALPAR ,FREQADVGOALSIB,FREQADVGOALCOLLFR,FREQADVGOALNCOLLFR,PRIADVGOALADVISORS ,PRIADVGOALFAC ,PRIADVGOALMENT ,PRIADVGOALPAR,PRIADVGOALSIB,PRIADVGOALCOLLFR ,PRIADVGOALNCOLLFR ,FREQADVCRSSELADVISORS  ,FREQADVCRSSELFAC ,FREQADVCRSSELMENT ,FREQADVCRSSELPAR ,FREQADVCRSSELSIB ,FREQADVCRSSELCOLLFR ,FREQADVCRSSELNCOLLFR ,PRIADVCRSSELADVISORS ,PRIADVCRSSELFAC ,PRIADVCRSSELMENT ,PRICRSSELPAR,PRICRSSELSIB,PRICRSSELCOLLFR ,PRICRSSELNCOLLFR ,PARTTIMERECENT,CHILDREN ,CHILDRENINTERF ,WORKHRS ,WORKINTERF ,FINANCECHALL ,INDEP ,MARITAL ,MOTHOCCUP,MOTHOCCUPCODE,FATHOCCUP,FATHOCCUPCODE,MOTHEDUC ,FATHEDUC ,MAXPAREDUC,SIB1EDUC ,SIB2EDUC ,SIB3EDUC ,NONNUCEDUC ,PARHOUSEOWNRENT,PARHOUSEOWN ,HSTRAVEL ,AGE ,GENDMALE ,RACE ,DISABILITY ,ENGHOME ,HOMELANG
33,1,1,5,1,1,1,2,1,1,0,0,0,2,Bataan Military Academy,0,1,3,4,3,3,0,10,0,0,0,5,1,1,5,1,2,0,2,1,5,3,5,5,5,5,3,0,0,0,0,2,2,0,7,7,7,1,1,1,7,0,0,0,2,2,2,0,5,5,5,1,1,1,5,0,0,0,2,0,2,0,0,.,.,.,.,.,.,.,.,.,.,4,0,0,1,21,1,4,1,1,.
34,1,2,5,1,1,1,3,4,1,0,3,3,5,Sandia High School,0,1,2,4,3,3,5,6,6,10,10,3,3,2,5,2,2,0,1,1,1,1,5,5,5,5,4,5,5,3,0,0,10,0,2,1,3,4,6,5,7,5,0,0,0,0,0,0,7,3,2,5,6,4,7,0,0,0,0,0,2,0,0,Budget Analyst,.,.,.,16,16,16,14,.,.,2,0,1,3,18,0,2,1,1,.
35,2,2,5,2,2,2,1,3,1,2,2,4,5,GED Los Lunas,1,1,3,4,3,4,7,8,7,8,10,0,2,3,4,1,3,0,0,1,5,3,4,2.5,3,2,3,1,2,0,3,3,5,3,1,2,3,6,4,5,7,1,1,0,0,5,8,0,1,2,5,6,3,4,7,0,1,2,0,0,2,1,0,Bum,.,Artist,.,12,12,12,.,.,.,1,0,0,2,19,0,6,0,1,.
36,2,4,5,4,4,3,4,4,1,1,2,3,0,Tohatchi HS,0,2,4,3,1,4,5,7,5,10,10,5,3,1,5,2,3,0,0,1,5,3,5,5,5,5,0,5,0,2,10,3,5,1,2,7,1,4,5,3,6,4,0,4,0,0,0,1,2,7,1,5,6,4,3,0,1,2,0,0,4,1,2,Professor   UNM),.,Supervisor   Econ Security,.,20,14,20,13,14,.,2,1,2,1,29,0,5,1,1,.
37,2,2,4,1,1,3,1,5,2,2,5,7,10,Gallup HS,0,2,5,4,3,4,8,8,0,5,10,5,5,1,5,5,3,0,0,1,3,2,5,5,5,5,4,2,0,0,2,2,2,0,1,5,6,3,4,2,7,4,0,0,20,20,20,0,1,3,4,5,6,2,7,0,0,0,2,3,4,0,0,Athletic Director,.,District Mgr,.,14,12,14,12,12,12,2,1,2,3,20,0,6,0,1,.
38,1,2,2,2,1,1,1,1,3,0,1,1,5,Taos HS,0,1,4,3,1,4,10,10,10,10,10,3,5,3,5,1,3,0,0,1,3,2,2,4.5,4,5,3,0,0,0,10,5,10,0,5,7,6,1,3,2,4,0,0,0,5,5,5,0,5,7,6,1,3,2,6,0,0,0,2,3,2,0,0,Personal Trainer,.,Auto Mechanic,.,14,14,14,.,.,.,2,1,2,3,21,1,4,0,1,.
39,1,4,5,3,4,3,3,5,2,10,10,20,10,Citizen's HS,0,1,4,3,3,3,10,10,10,10,10,3,2,1,5,3,2,2,5,2,1,1.5,3,4.5,4,5,4,0,1,0,2,2,4,6,4,6,5,2,,1,7,4,0,0,0,0,2,0,1,3,2,6,5,4,7,0,0,0,3,2,4,1,0,Unemployed,.,Disabled Unemployed,.,12,12,12,14,8,12,1,0,0,1,29,0,3,0,1,.
40,1,3,5,1,1,3,4,1,2,0,0,0,10,Foreign High School,0,2,5,4,3,2,10,10,10,10,10,5,5,1,5,1,2,0,0,5,1,3,5,5,5,5,0,3,0,0,0,0,0,3,3,3,0,3,3,5,3,3,3,0,0,3,0,3,3,3,7,3,3,7,3,1,1,3,0,3,3,1,1,NA,.,Retired,.,.,.,.,.,.,.,4,1,2,3,31,0,6,0,0,Arabic
41,1,4,5,3,1,1,1,4,2,3,2,5,5,Eldorado High School,0,2,5,4,3,1,7,8,8,5,10,3,4,1,2,3,1,1,5,1,3,2,2,4.5,4,5,4,2,2,0,3,2,2,0,1,2,4,3,5,6,7,2,0,0,2,1,2,0,1,2,3,4,5,6,7,1,0,0,0,0,2,0,0,Student,.,NA,.,12,14,14,.,.,.,2,0,0,1,21,.,3,1,1,.
42,1,1,2,2,1,1,1,1,1,2,0,2,2,Rio Grande HS,0,1,4,3,2,3,7,10,10,9,9,0,2,1,5,5,3,0,0,2,3,2.5,4,3,5,1,1,3,1,0,0,0,1,0,1,2,6,3,4,7,5,0,0,0,0,0,0,0,1,2,6,7,3,4,5,0,0,0,2,1,3,0,0,Health care,.,Construction,.,12,8,12,16,.,.,1,1,2,3,18,.,4,0,0,Spanish
