Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-02-06,BTCUSD,3428.4,3441,3340.8,3367.36,8897.36,30027779.92
2019-02-05,BTCUSD,3409.57,3429.46,3400,3428.4,5993.48,20484570.9
2019-02-04,BTCUSD,3414.78,3435,3395.1,3409.57,5727.22,19551500.4
2019-02-03,BTCUSD,3468.43,3471.76,3386.45,3414.78,4341.6,14864318.35
2019-02-02,BTCUSD,3437.5,3483.24,3414.49,3468.43,3813.96,13105971.91
2019-02-01,BTCUSD,3411.49,3458.26,3369.62,3437.5,8410.91,28763661.15
2019-01-31,BTCUSD,3437.55,3473.4,3396.74,3411.49,7148.39,24471669.15
2019-01-30,BTCUSD,3397.42,3459.41,3373.35,3437.55,8293.61,28405644.02
2019-01-29,BTCUSD,3429.95,3438.4,3337.87,3397.42,8168.2,27746463.85
2019-01-28,BTCUSD,3531.01,3535.92,3374.02,3429.95,11621.01,39919615.64
2019-01-27,BTCUSD,3556.07,3562.9,3471.98,3531.01,3868.19,13690073.61
2019-01-26,BTCUSD,3562.18,3657.76,3540,3556.07,4534.02,16208498.17
2019-01-25,BTCUSD,3568.97,3578.79,3510.01,3562.18,6547.88,23272887.24
2019-01-24,BTCUSD,3553.01,3595.83,3530.1,3568.97,5607.18,19952934.72
2019-01-23,BTCUSD,3577.03,3614.47,3523.64,3553.01,7628.41,27204598.72
2019-01-22,BTCUSD,3531.76,3611.5,3425,3577.03,8672.66,30775003.38
2019-01-21,BTCUSD,3536.19,3568.95,3487.37,3531.76,6240.95,22065763.42
2019-01-20,BTCUSD,3682.65,3703.39,3481.01,3536.19,6721.45,24022523.12
2019-01-19,BTCUSD,3607.85,3759.98,3604.9,3682.65,4765.26,17551096.43
2019-01-18,BTCUSD,3640.65,3643.69,3580.16,3607.85,5741.49,20744958.32
2019-01-17,BTCUSD,3609.71,3657,3541.29,3640.65,8526.63,30758678.41
2019-01-16,BTCUSD,3580.76,3666.73,3572.52,3609.71,8531.11,30758589.69
2019-01-15,BTCUSD,3664.19,3684.38,3540,3580.76,10048.6,36429393.35
2019-01-14,BTCUSD,3514.24,3711.1,3509.24,3664.19,10607.81,38411565.21
2019-01-13,BTCUSD,3619.41,3641.86,3482,3514.24,7072.38,25092340.55
2019-01-12,BTCUSD,3635.69,3649.18,3557.29,3619.41,5418.47,19639259.73
2019-01-11,BTCUSD,3626.12,3699.26,3576.09,3635.69,13866.3,50456331.51
2019-01-10,BTCUSD,4004.12,4035.21,3560,3626.12,18967.77,71162282.34
2019-01-09,BTCUSD,3993.86,4042.2,3962.12,4004.12,10180.99,40806556.14
2019-01-08,BTCUSD,4006.01,4114.8,3945,3993.86,12850.61,51608355.86
2019-01-07,BTCUSD,4040.99,4070,3968.79,4006.01,9408.71,37822045.68
2019-01-06,BTCUSD,3798.62,4088,3756.01,4040.99,8949.92,35451351.39
2019-01-05,BTCUSD,3820.25,3874.12,3775,3798.62,6205.09,23788949.1
2019-01-04,BTCUSD,3787.57,3849,3730,3820.25,8951.89,33883543.98
2019-01-03,BTCUSD,3890.79,3893.8,3758.07,3787.57,8715.63,33354904.32
2019-01-02,BTCUSD,3826.09,3916.57,3770.07,3890.79,9536.46,36593653.4
2019-01-01,BTCUSD,3691.86,3841.17,3651.02,3826.09,10364.91,38462527.75
